,N,ratio,phi,err,var,abs_deriv
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,4.0,0.005,0.2753932228219397,3.9907615217210184,7.253951367546877
2,5.0,4.0,0.01,0.27774155954806673,15.287003352404898,14.077330621969953
3,7.0,4.0,0.005,0.1889557163010218,15.522520783624966,20.850721631254004
4,7.0,4.0,0.01,0.19329468508085482,56.00750446847283,38.71713372259113
5,9.0,4.0,0.005,0.13829073146855228,43.18980874307641,47.52231259002402
6,9.0,4.0,0.01,0.14514795211851259,141.25291601900102,81.88187864689215
7,11.0,4.0,0.005,0.10617624504718662,97.20456721323902,92.85728323172202
8,11.0,4.0,0.01,0.1160865982176894,276.3192103850744,143.19354954396587
9,13.0,4.0,0.005,0.08491215852426326,186.90174470067555,161.0040485037299
10,13.0,4.0,0.01,0.09836863449178139,446.81773620771855,214.88621643288286
11,15.0,4.0,0.005,0.07047166234391238,316.4460620756759,252.42672436807896
12,15.0,4.0,0.01,0.08779756540927512,630.3022379297508,285.9512183593871
13,17.0,4.0,0.005,0.060555910717899945,481.8257251266913,362.48367466633084
14,17.0,4.0,0.01,0.08164329813082326,817.471403616771,350.1996793833475
15,19.0,4.0,0.005,0.053765383165541726,672.0722087228326,482.1755930275407
16,19.0,4.0,0.01,0.07773458114660707,1018.6315417978547,410.5766975237812
