,N,ratio,QFI
0,10.0,0.5,24.988340112280408
1,10.0,1.0,108.92862222025371
2,10.0,4.0,182.4479075587941
3,15.0,0.5,56.24958291089444
4,15.0,1.0,356.15124708154866
5,15.0,4.0,625.4458317247932
6,20.0,0.5,99.99998790410913
7,20.0,1.0,823.4246844341467
8,20.0,4.0,1641.930833208705
9,25.0,0.5,156.24999643751303
10,25.0,1.0,1573.7064928070172
11,25.0,4.0,3616.5087386019436
12,30.0,0.5,224.999994644981
13,30.0,1.0,2666.7802559090374
14,30.0,4.0,7037.982282774212
15,35.0,0.5,306.24999358491726
16,35.0,1.0,4159.917220768454
17,35.0,4.0,12499.461397943376
18,40.0,0.5,399.999987433185
19,40.0,1.0,6108.322208920282
20,40.0,4.0,20698.545709206694
21,45.0,0.5,506.2499906226898
22,45.0,1.0,8565.452920186537
23,45.0,4.0,32437.61389166555
24,50.0,0.5,624.9999867494334
25,50.0,1.0,11583.259094603385
26,50.0,4.0,48624.257574218456
27,55.0,0.5,756.2499810654487
28,55.0,1.0,15212.367930786266
29,55.0,4.0,70271.8997767314
30,60.0,0.5,899.9999815922802
31,60.0,1.0,19502.231797007582
32,60.0,4.0,98500.64265084155
33,65.0,0.5,1056.2499711548292
34,65.0,1.0,24501.248455179848
35,65.0,4.0,134538.3899898794
36,70.0,0.5,1224.999972909242
37,70.0,1.0,30256.860771301202
38,70.0,4.0,179722.29081896975
39,75.0,0.5,1406.2499683229375
40,75.0,1.0,36815.64059345603
41,75.0,4.0,235500.546202108
42,80.0,0.5,1599.9999590904615
43,80.0,1.0,44223.36034224819
44,80.0,4.0,303434.6172150812
45,85.0,0.5,1806.249960553857
46,85.0,1.0,52525.05456352715
47,85.0,4.0,385201.846935207
48,90.0,0.5,2024.9999615346371
49,90.0,1.0,61765.07369834239
50,90.0,4.0,482598.5034377206
51,95.0,0.5,2256.249954596588
52,95.0,1.0,71987.13117161051
53,95.0,4.0,8389337463.997605
54,100.0,0.5,2499.9999534106573
55,100.0,1.0,83234.3450407787
56,100.0,4.0,732080.5178557653
57,105.0,0.5,2756.249951551951
58,105.0,1.0,95549.27509582009
59,105.0,4.0,10080381759.787542
